s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,1.1780567634598502,1.3878177379334973,3.3908499541551813,0.011780620269063406
2,0,186,0.8908361420893146,0.7935890320525736,3.5710477135592997,0.01916016759067538
2,1,186,0.641129084602975,0.4110465031238487,3.8825060164137035,0.010594625761738051
2,2,186,0.43968813854652683,0.19332565917850977,2.430110646165978,0.008774646517018654
2,3,186,0.8673567383995193,0.7523077116470522,4.782402921420847,0.032609904054133554
2,4,186,0.9821792626577267,0.9646761039948757,5.404233534079167,0.024175483224622207
4,0,170,0.48095284110451597,0.2313156353665058,2.366977972195473,0.005445106537221001
4,1,170,0.28338236075753914,0.08030556238851606,1.4003233033338993,0.005518901897853798
4,2,170,0.22440746057883565,0.05035870836344168,0.8928169633324717,0.0049905252742239595
4,3,170,0.381454924692799,0.14550785957238896,1.5421237713619405,0.0079177968049745
4,4,170,0.30359835313864164,0.09217196002849536,1.122394290072306,0.008720615509079384
4,5,170,0.271706690866366,0.07382452586155097,1.2186218061030205,0.006138381170528746
4,6,170,0.23542381324310355,0.05542437184192369,1.284975782882777,0.005627215700010129
4,7,170,0.19524904906545637,0.038122191160964984,0.9330068552336916,0.004584470900046392
4,8,170,0.48996508059848526,0.24006578020588018,2.637874388202476,0.011141451632864407
6,0,149,0.25759774084871206,0.06635659609036022,1.3404579077969379,0.002831117296739374
6,1,149,0.23065481154503198,0.053201642088874214,0.925151103747128,0.004527898599881515
6,2,149,0.22771787134119387,0.05185542892816452,0.9075147966962683,0.004618865691912475
6,3,149,0.22915040178249307,0.052509906637078003,0.6800901443164009,0.004914174579403552
6,4,149,0.24377271508897974,0.05942513662185289,0.6508336232003381,0.004190219794179802
6,5,149,0.17407306980341009,0.030301433630782876,0.5177234580569986,0.0038288621200091265
6,6,149,0.32751503314456026,0.10726609693568241,1.1250900857696295,0.006360744198910177
6,7,149,0.1632281074708292,0.026643415068508564,0.4618011620330648,0.0034628633497033783
6,8,149,0.2100541129486545,0.04412273036664611,0.9102650329392052,0.0051595830094340565
6,9,149,0.2472837945827624,0.061149275063249825,0.8009909216614636,0.005681631519217854
6,10,149,0.17779569341484333,0.031611308596864965,0.5047145877780373,0.005152411731970464
6,11,149,0.22271111939392943,0.04960024270169709,0.9196376614313871,0.004726875438415887
6,12,149,0.1782075267944025,0.03175792260617768,0.48455673349619743,0.004477100376501369
