s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,8.317311183700438,69.17766532650839,33.966082180703985,0.008117583573270021
2,0,186,7.56066179199601,57.16360673294832,32.244710299605615,0.01855932782537752
2,1,186,4.5569751722548055,20.76602272054671,34.167271218712955,0.008902059283852038
2,2,186,2.836630473850511,8.046472445177374,10.246509363955067,0.00775554130454307
2,3,186,7.254628354023638,52.629632555003724,49.29852557103669,0.029706597307727654
2,4,186,6.743709733619661,45.47762097131656,46.90257550986628,0.021553092639525935
4,0,170,3.567753379037794,12.7288641736356,17.64086918056837,0.0047416169429089034
4,1,170,2.1848643710740747,4.773632319988913,9.400377924026857,0.004761430983398838
4,2,170,1.8187050791439747,3.3076881649040915,7.570672133392058,0.004379972543346079
4,3,170,2.8143297341063724,7.920451852275244,10.071700123905423,0.0062661284542072536
4,4,170,2.4154625103189016,5.834459138756089,11.478165662139883,0.00797564490670587
4,5,170,2.0361058011490933,4.145726833472992,6.886265744663693,0.005119908982930958
4,6,170,2.015124680070584,4.060727476229573,10.597497255934245,0.005320506066804012
4,7,170,1.615791420686225,2.610781915163209,6.61315874873485,0.0044572747231084965
4,8,170,2.6628894331013737,7.0909801329229545,12.975418353758387,0.006641339353724497
6,0,149,2.1658056356957367,4.690714051611414,12.490874023353456,0.0023143728346682615
6,1,149,1.9773158927776897,3.9097781398312317,7.6585412545897755,0.00408095685947794
6,2,149,1.59800684306247,2.553625870474482,5.117300306362082,0.003914962939163238
6,3,149,1.6974243843773138,2.881249540678703,5.399206994355002,0.004163955254712703
6,4,149,1.629757862352909,2.6561106899011233,5.6060458716748105,0.0034172092263981104
6,5,149,1.5346129063687688,2.3550367723935994,4.477090534753946,0.0034308082368995512
6,6,149,2.2118585226613727,4.8923181242697495,7.73399764278616,0.00488695807608385
6,7,149,1.3545791877020779,1.8348847757556213,4.400097754128618,0.0032054376122890933
6,8,149,1.6984113639044642,2.884601161039823,8.200139322666828,0.004536128124048809
6,9,149,1.7395874630045833,3.0261645414427227,5.415568829611224,0.005132549912636818
6,10,149,1.4254219813208406,2.031827824832631,4.013222004885453,0.004778731534587764
6,11,149,1.7568957039698296,3.086682514627643,8.454018147450045,0.004386087689316601
6,12,149,1.398280868636828,1.955189387595762,4.38654339954876,0.00398260111021907
