s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,4.3118706304183085,18.59222833346398,16.59568903916536,0.00882450303310562
2,0,186,3.9307648807138627,15.450912547453466,16.076992070997882,0.018967287482732922
2,1,186,2.4236553783967336,5.874105393231415,17.25099190968006,0.009234533950897555
2,2,186,1.5404020011084365,2.3728383250188756,5.135512185827314,0.00810897652507836
2,3,186,3.745623200894619,14.02969316308005,24.60101163234173,0.03029033630843177
2,4,186,3.6154614330606387,13.071561373948889,24.51020301163428,0.02175976833456589
4,0,170,1.8701734216106463,3.497548626898872,9.511098218589396,0.004884400184828852
4,1,170,1.1725398246630174,1.3748496404207795,6.3221971363845455,0.0050213706334379165
4,2,170,0.9381465962884153,0.8801190361275391,3.9080355497384827,0.004481041089066547
4,3,170,1.4753195557698997,2.176567791637094,5.908182272543379,0.006496807323922894
4,4,170,1.2619380358954309,1.5924876064396176,5.789500160527893,0.0081254006852908
4,5,170,1.1094360236007126,1.2308482904629607,4.42520479691215,0.005501160553693021
4,6,170,1.0515454997144265,1.1057479379696626,5.843030506400088,0.005382162068121394
4,7,170,0.8425600279600508,0.7099074007160416,3.4107788803139014,0.004492602755491952
4,8,170,1.5205665897991132,2.3121227540133042,7.811631691112591,0.0072624956256123144
6,0,149,1.0738524817245945,1.1531591525060707,6.367915808841754,0.002406394971645789
6,1,149,1.0300242577009628,1.0609499714524193,4.197153897243507,0.004254306965925162
6,2,149,0.8489712738628632,0.7207522238443326,2.752956962759207,0.004032340743418232
6,3,149,0.8944881499723503,0.8001090504409578,2.828756000950927,0.004279142932816711
6,4,149,0.9304023223399405,0.8656484814155545,3.299723979253914,0.0036703417711856676
6,5,149,0.7838136858257445,0.6143638940877388,2.3920105999218593,0.0035420819260731013
6,6,149,1.2391054117134488,1.5353822213375554,4.321341432986572,0.005175484845060372
6,7,149,0.7076201260785602,0.5007262428314374,2.1759398686329416,0.0032697005123801166
6,8,149,0.8830469212764043,0.7797718651757362,4.199130069310081,0.004674136021407952
6,9,149,0.9271776112717355,0.8596583228435614,3.0176561840640588,0.005146305011600965
6,10,149,0.7544094952923341,0.5691336865872343,2.0941010479780258,0.004959638834628731
6,11,149,0.9413832322903378,0.8862023900374041,4.563214973633859,0.004474574375534149
6,12,149,0.7512488536621759,0.5643748401287334,2.2652200420337705,0.004123567179121444
