s,t,n_data,error_min,error_max,error_mean
0,0,186,8.63289e-07,0.000625281,8.404491165053762e-05
2,0,186,1.08003e-06,0.0011660798,0.00012527396718817205
2,1,186,7.29266e-07,0.0055537616,0.00021205700108064518
2,2,186,1.04675e-06,0.0024498527,0.00020420259875268817
2,3,186,8.40659e-07,0.0056488453,0.00023101042486559138
2,4,186,1.52071e-06,0.0061941767,0.000248173016655914
4,0,170,7.8363e-07,0.000545383,0.00010251218229411765
4,1,170,6.53938e-07,0.0011375,0.00017546729580588234
4,2,170,1.73454e-06,0.000784597,0.00016581932052352942
4,3,170,5.66553e-07,0.000945185,0.00018355319025882352
4,4,170,1.82169e-06,0.00103767,0.00019083412718823528
4,5,170,2.00119e-06,0.000727094,0.00017889049483529415
4,6,170,1.09728e-06,0.000791317,0.0001878727596294118
4,7,170,1.47117e-06,0.00189356,0.00021437698831176474
4,8,170,1.21698e-06,0.00157528,0.0002125987598
6,0,149,1.11383e-06,0.000421383,0.00010180410097986578
6,1,149,1.51812e-06,0.00066846,0.0001666247287315436
6,2,149,1.2041e-06,0.00077944,0.00016889569206040268
6,3,149,7.66293e-07,0.000937052,0.0001843089637181208
6,4,149,2.19057e-06,0.000810587,0.0001788355256644295
6,5,149,7.81308e-07,0.00093245553,0.0001858475019395973
6,6,149,1.68129e-06,0.000648487,0.00017636697659731545
6,7,149,1.26157e-06,0.000970734,0.00019393763404697986
6,8,149,2.25198e-06,0.00088022478,0.00017899710033557047
6,9,149,1.05121e-06,0.00114001,0.00019019144287248322
6,10,149,1.05856e-06,0.0010829,0.00021397918020134226
6,11,149,1.59217e-06,0.00101964,0.00020231948911409397
6,12,149,1.11676e-06,0.00201619,0.00021332735941610734
