s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,2.123186798972724,4.507922183332042,7.6407126104556635,0.015949668664247168
2,0,186,1.1415535224785638,1.303144444683217,4.508181872936432,0.019852877420720207
2,1,186,1.1983934007489867,1.4361467429587214,5.201872984099576,0.016362762671996482
2,2,186,0.7402634425494669,0.5479899643751878,5.885496321903219,0.011296597776482245
2,3,186,1.194023164061125,1.42569131631454,4.662228686912068,0.037610465589464036
2,4,186,2.4859317961392207,6.179856895055972,14.237022195154934,0.04103067923270289
4,0,170,0.6113607187087062,0.3737619283800258,3.013944789639025,0.006618507465994855
4,1,170,0.4655267738105227,0.21671517713443356,2.2726823880062947,0.007314058933911164
4,2,170,0.2991110753454115,0.08946743539428843,1.0241139215752235,0.006150683762181657
4,3,170,0.7221321450968607,0.5214748349821936,4.719579544133609,0.013424173181308598
4,4,170,0.4658636588065851,0.21702894859665833,1.896906813617382,0.010621616060271073
4,5,170,0.36091312329425074,0.13025828256601102,1.3883277028937187,0.0070937020583134395
4,6,170,0.2977873064391937,0.08867727987631026,1.366058991849882,0.006514079952763053
4,7,170,0.27028869650920634,0.07305597946064586,1.0145861832255147,0.00613904186210006
4,8,170,0.8055373842634783,0.6488904774460467,4.673910160338979,0.014576070941686885
6,0,149,0.347468234266606,0.120734173824353,1.2993402214551104,0.003737287818007155
6,1,149,0.5018719644246119,0.25187546867541893,2.09555476826605,0.007794224796457901
6,2,149,0.3442125595865571,0.11848228617712914,1.9669305403553563,0.006243174244489632
6,3,149,0.3792111639266094,0.14380110684657382,1.4799070536059942,0.007347278250455983
6,4,149,0.3007298136610224,0.09043842082459326,1.020638601381377,0.004502843089581451
6,5,149,0.24586131987131332,0.060447788608864246,0.8568283230640356,0.005075789489173447
6,6,149,0.6445244996555919,0.4154118306562911,2.89336703895313,0.011251003794340615
6,7,149,0.3983543619070027,0.15868619765033526,1.9352653126126396,0.006629231531943343
6,8,149,0.4736408762660275,0.2243356796700504,2.319868684497205,0.00869638545912676
6,9,149,0.4978241065364703,0.24782884104883496,2.555028419868802,0.008250118567697692
6,10,149,0.2440810499649458,0.059575558951990376,1.0213318547940435,0.005689473167985313
6,11,149,0.31366412848042713,0.09838518549538589,1.2040498662650758,0.0060762856559997535
6,12,149,0.21517746561094936,0.0463013417067513,0.6515008793663294,0.004730563662051518
