s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,13.313893737839301,177.25976646247656,53.39638675374604,0.012853260075213839
2,0,186,9.003600374760595,81.06481970838912,45.65099057382879,0.019444302696632488
2,1,186,7.391899667386926,54.64018069271495,39.76492568132124,0.01096221229212968
2,2,186,5.0061047231641105,25.061084499286014,29.54879283683258,0.009325633864135053
2,3,186,9.11632630628079,83.10740532258714,47.09934720172916,0.032967088012445696
2,4,186,10.657249872157855,113.57697483760863,54.287928586613944,0.024758897913527648
4,0,170,4.310253168193172,18.578282373919276,21.974281675185406,0.005338086649927982
4,1,170,3.1198252410025793,9.733309534396803,12.989665126490706,0.00572663498862997
4,2,170,2.3800666389135925,5.6647172056694455,8.705518800824075,0.005099210815467978
4,3,170,4.175517387954447,17.434945457109933,18.767903356836435,0.008306649674787345
4,4,170,3.310332618205454,10.958302043154978,11.470635144933134,0.00886539647354947
4,5,170,2.8051508544321053,7.868871316121171,12.05445150030556,0.0062295935650536795
4,6,170,2.41812645124003,5.8473355341866995,12.612206657420181,0.005735231412939017
4,7,170,1.9462926125508517,3.78805493367002,9.283900415140522,0.004615517036711001
4,8,170,5.497235921004702,30.219602771184412,29.86726648864684,0.012242386044103807
6,0,149,2.788475711466928,7.77559679344099,13.071253418646572,0.0028757261148064346
6,1,149,2.371908956001488,5.625952095560069,9.503370103423428,0.004624163958334009
6,2,149,2.3311809072934717,5.434404422529614,10.499583727021772,0.004692214197710833
6,3,149,2.3548857252750595,5.545486779104244,6.692023215985939,0.005020973077086464
6,4,149,2.506401467215557,6.282048314860296,6.674000814080437,0.004115551205011128
6,5,149,1.7804799887778395,3.1701089904383353,5.251508227739336,0.0039334808285398076
6,6,149,3.478692064475107,12.101298479442084,12.914812636428778,0.006678058193459911
6,7,149,1.6880341571325042,2.8494593156460435,4.755233546139544,0.0034903374569048547
6,8,149,2.162508993127165,4.676445145355864,9.247200884580787,0.005180957876086381
6,9,149,2.6070599087441284,6.7967613677809435,8.289791927566501,0.005797435699126246
6,10,149,1.777321589147286,3.1588720312490337,5.160736742271738,0.005131655235573688
6,11,149,2.2393148754526675,5.0145311114235955,9.201590672100718,0.004729494780868932
6,12,149,1.8030932918277298,3.251145419034159,4.922015555269313,0.0045689573593308335
