s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,14.315595084105807,204.93626261207436,75.48158292979038,0.01285202185602439
2,0,186,8.76218418571696,76.77587170442838,42.05691786524362,0.0194605729794422
2,1,186,7.432524166618916,55.24241548737422,39.57848263551294,0.010915149550838594
2,2,186,5.0264700525652275,25.265401189335083,29.57246627869969,0.009296369778433677
2,3,186,9.020593704966966,81.37111079008967,47.08861725150722,0.03295396835876892
2,4,186,10.604869467151516,112.46325641532249,54.25231976136979,0.024752420299670577
4,0,170,4.308876954661794,18.56642061041549,22.165916114392033,0.005343378511105482
4,1,170,3.1165849678757773,9.713101861989259,12.987798762611433,0.005727589530999005
4,2,170,2.3574270347373028,5.557462224110312,8.63583556725454,0.005098384318371404
4,3,170,4.138075067097361,17.12366526093283,18.773619414973577,0.008311401038215765
4,4,170,3.291705719742167,10.8353265453833,11.494839096345293,0.008876277606430453
4,5,170,2.8045883670916534,7.865715908825828,12.055779774827567,0.0062292094943508045
4,6,170,2.4123992510750045,5.819670146587242,12.585538306116826,0.00573632897317257
4,7,170,1.9373093093395137,3.7531673600535433,9.183169279985895,0.004611839856565896
4,8,170,5.4990319910461745,30.23935283854925,29.870465568571184,0.012240309108110043
6,0,149,2.73394691530789,7.474465735721528,13.101399043568911,0.0028744328754904715
6,1,149,2.3745257955749306,5.638372753850757,9.509127239504885,0.004619826895005399
6,2,149,2.3309018960238226,5.433103648887451,10.499977132036722,0.00469240143485694
6,3,149,2.3548615103076465,5.545372732728409,6.691231422786923,0.0050210636523866465
6,4,149,2.4642460088660805,6.072508392212407,6.546886590131445,0.004124452153014371
6,5,149,1.7779474536238262,3.1610971478474474,5.256672262223857,0.003934010832563326
6,6,149,3.4782024481716274,12.097892270467103,12.917900127030212,0.006677099942271377
6,7,149,1.6816946808830238,2.828096999710255,4.73067381418695,0.0034915265995308703
6,8,149,2.159515465315382,4.663507044936312,9.248216675397046,0.005176178981605779
6,9,149,2.5759564712720877,6.635551741888547,8.310175955520416,0.005795620796616041
6,10,149,1.7718569930357502,3.1394772037696903,5.163086598154471,0.005132541036985145
6,11,149,2.24088170232656,5.021550803821981,9.189537080535725,0.004729865088397716
6,12,149,1.8022361397169455,3.248055103301837,4.938031238095091,0.004565139744066822
