s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,49.61083887763758,2461.2353341429166,400.7901508836897,0.015220153364172918
2,0,186,8.938313835643072,79.89345422444836,33.94298714718652,0.019601890071033735
2,1,186,9.018489259831778,81.33314852970113,66.05668434074,0.010824327552977953
2,2,186,5.053801813637266,25.540912771523317,29.606948046764796,0.009260000570567166
2,3,186,8.983548710506618,80.70414743404511,47.08079662730543,0.032953378468955796
2,4,186,10.605062414731908,112.46734882035936,54.29935852127604,0.024760375127808862
4,0,170,4.436256810724796,19.680374490702135,20.75717194853826,0.005335844346057984
4,1,170,3.4012234820548084,11.568321174881037,16.20716011829604,0.005735560861181653
4,2,170,2.3611512324523054,5.575035142511041,8.635870906484303,0.005097852647380427
4,3,170,4.121112989797768,16.983572274679897,18.814229351805672,0.008346787863784373
4,4,170,3.3282907416715526,11.077519261096574,11.358697028664348,0.008811831296081235
4,5,170,2.833089304088141,8.026395004938628,12.04266450728162,0.006243909058869758
4,6,170,2.4453159996325904,5.979570338059135,12.520548979299328,0.005748121489691331
4,7,170,1.946912655686349,3.790468888871672,9.42472262143188,0.00461921695199995
4,8,170,5.498974926328428,30.238725240388742,29.87567736487247,0.012238111494569392
6,0,149,2.800914584521867,7.845122509787303,12.99041653013857,0.0028947825404711126
6,1,149,2.38423930020429,5.684597040638642,9.566040831279686,0.004614876894090968
6,2,149,2.4388777480211523,5.948124669792727,10.452860762142576,0.0047214584386363265
6,3,149,2.421703572956191,5.8646481952687814,6.842282258896637,0.005018852528450191
6,4,149,2.53731615399465,6.437973265322202,7.23481947321947,0.004198894444410042
6,5,149,1.7808125602944553,3.1712933749024934,5.255974746662874,0.003934324049127912
6,6,149,3.477662513362566,12.09413655684724,12.915621518069447,0.006674190319778476
6,7,149,1.6845987689225956,2.837873012255525,4.661040153722971,0.0034963578585720597
6,8,149,2.1641019967660786,4.683337452406929,9.263010074728614,0.005157767127046227
6,9,149,2.5994542955153404,6.757162634473155,8.386006572466112,0.005799731151527852
6,10,149,1.7765493506512875,3.1561275952995116,5.169211275838216,0.005138291074960834
6,11,149,2.3662145786425173,5.598971432180385,9.13285608478802,0.004806123782828224
6,12,149,1.8153417186799146,3.295465555579746,4.979330923530419,0.004559833636176344
