s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,7.5294642478344604,56.69283185941735,21.784142999114923,0.01438191845412589
2,0,186,4.634701603288132,21.480458951521584,21.63114625800635,0.01949735722735772
2,1,186,3.8978065174703933,15.192895647634677,21.77662991770338,0.011682293472249203
2,2,186,2.8283264927316423,7.999430749487672,18.226832623225274,0.010059303206255614
2,3,186,4.7915707903133296,22.959150638583907,23.3538335206375,0.034168082711774204
2,4,186,6.024766883762985,36.29781600368715,27.835985998406233,0.02593733662945955
4,0,170,2.358807931171633,5.563974856158198,12.239294936813977,0.005679606236615024
4,1,170,1.815697952821679,3.296759055880836,6.768609731119515,0.006457061887275843
4,2,170,1.2897240087346,1.663388018706447,4.231029078681392,0.005370756087213754
4,3,170,2.4838422288953717,6.169472218043927,13.978481197854405,0.00970372768448643
4,4,170,1.8861960454565447,3.5577355218959075,7.076759154037446,0.00946216559301663
4,5,170,1.5322580681402287,2.3478147873808255,6.327278726821364,0.006461665879030636
4,6,170,1.279479315391335,1.6370673185142794,6.214188736851299,0.005992182599865394
4,7,170,1.03121041531038,1.0633949206446067,4.877318026055327,0.004641432647110975
4,8,170,3.1700129423019527,10.048982054361884,18.212876591332936,0.013137802138548689
6,0,149,1.50317181549039,2.2595255068846747,6.60822476642511,0.003134850358229366
6,1,149,1.3386305462076218,1.7919317392401157,5.358453059764311,0.00495838387134736
6,2,149,1.29854959141675,1.6862310413686086,6.510868099147259,0.005042127008959581
6,3,149,1.3230482890487953,1.7504567751549447,4.6467944573187046,0.005469783430127244
6,4,149,1.3322856092696387,1.7749849446669725,3.932699943824151,0.004252894170715478
6,5,149,0.9414814670931938,0.8863873528799526,2.9677416064909874,0.004176362250447088
6,6,149,2.013637310149195,4.054735216824885,8.271476215516067,0.0076858042049117
6,7,149,0.9325946335149773,0.8697327504609349,2.9675287235896124,0.003685874689846213
6,8,149,1.2403118029278615,1.5383733684821626,4.35573164825903,0.005526689800645952
6,9,149,1.4428406734151578,2.081789208861106,4.998014914744962,0.006063920990780905
6,10,149,0.9712589208133684,0.943343891259549,3.194160281190594,0.0051905697026979536
6,11,149,1.188373479187401,1.4122315260359684,4.495473254448641,0.004944790851764813
6,12,149,0.9541104189831255,0.9103266916121554,2.5800066974124762,0.0046752910393923226
