s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,7.518663357847769,56.53029868864269,22.116097366722503,0.014358659477164748
2,0,186,4.6199618653329555,21.344047637130764,21.00311135707594,0.01950806930381238
2,1,186,3.9079719851732246,15.272245036898756,21.73093523590392,0.0116563488429848
2,2,186,2.8295022975604947,8.006083251900117,18.230625508881886,0.010050000504558294
2,3,186,4.788323330290091,22.928040315400388,23.35091998775367,0.03416390109785815
2,4,186,6.023090537424727,36.27761962201529,27.82576325981317,0.025934567347448808
4,0,170,2.3588499575555164,5.564173122259662,12.297289361259887,0.005683702425382786
4,1,170,1.814883173854296,3.293800934739443,6.761471606963016,0.006458040385203816
4,2,170,1.2887537350043683,1.6608861894877096,4.221381288597127,0.005370967908239079
4,3,170,2.4788334191920707,6.144615120103452,13.97780904602883,0.009704362159701633
4,4,170,1.8849073430279937,3.5528756918008506,7.0754899856451665,0.009468326305242919
4,5,170,1.5322458707801718,2.347777408522887,6.327373951579509,0.006461791476413012
4,6,170,1.2791655812106828,1.6362645841540637,6.210430091110178,0.005992831397103451
4,7,170,1.0309332124061958,1.0628232884421585,4.862013926734104,0.004640713891537409
4,8,170,3.1701558092628677,10.049887855003108,18.211920194525156,0.013136744073381489
6,0,149,1.4987454148178676,2.246237818437582,6.6149795193971475,0.003134786624113284
6,1,149,1.3386074898660738,1.7918700119255508,5.359264218240813,0.004958424962418905
6,2,149,1.298251320868632,1.6854564921371473,6.511000355480082,0.005042298696214106
6,3,149,1.322867358649308,1.749978048579797,4.6464411141071045,0.005469845912395035
6,4,149,1.3305730658837838,1.7704246836553719,3.890210645872915,0.0042579545231120515
6,5,149,0.9413658535396715,0.8861696702104743,2.9683882960265375,0.004176721580084888
6,6,149,2.0137354591855225,4.055130499581127,8.272038252479174,0.007685477536912554
6,7,149,0.9311911163224965,0.8671168951179372,2.9668986664970207,0.003686004647279995
6,8,149,1.2398859686909078,1.5373172153565908,4.354578498780293,0.00552465860927263
6,9,149,1.442466466150518,2.0807095059687635,5.000907064955712,0.006063513251597887
6,10,149,0.9712009262565471,0.943231239161575,3.1935935983742016,0.005190769989784894
6,11,149,1.188518398712053,1.4125759840770624,4.493605390974635,0.004945191582484983
6,12,149,0.9540923463764094,0.9102922054140424,2.5828059371271657,0.004673865580637113
