s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,12.895477223653383,166.29333282576317,90.02823258339438,0.015008400177287074
2,0,186,4.625739488864989,21.39746581884493,19.526798945289713,0.019561996974444433
2,1,186,4.048972508379245,16.39417837361092,21.586051806837304,0.01157421807126995
2,2,186,2.8309337632880216,8.01418597212408,18.235926476064904,0.010039113353966655
2,3,186,4.788852736761923,22.933110534392156,23.33842243124369,0.034156636998750586
2,4,186,6.021857779661519,36.26277111846996,27.84279186015004,0.025940847585421343
4,0,170,2.3763932665303114,5.647244957210603,12.032986616982601,0.005670243963219819
4,1,170,1.8384613630697342,3.3799401835002247,6.818508920248144,0.006457803101916044
4,2,170,1.288841759524757,1.6611130810948713,4.219603922878886,0.005370830073232402
4,3,170,2.4769139784982674,6.135102856880116,13.983323520411046,0.009708305405231233
4,4,170,1.8856597451806074,3.5557126745945933,7.07905612727432,0.009452375665066407
4,5,170,1.5345386912701968,2.354808995005248,6.324679054949446,0.006462937737559593
4,6,170,1.2805710968269304,1.6398623340285272,6.200578226537514,0.005996974473015702
4,7,170,1.0311325964509366,1.06323443146365,4.885708594106993,0.0046399516050372016
4,8,170,3.170315874571908,10.050902744562643,18.212800981441777,0.013136938417228098
6,0,149,1.4995591879390011,2.2486777581322768,6.6105552596590265,0.0031361957500130352
6,1,149,1.3388001911874003,1.79238595192342,5.35897315415119,0.0049617047568043466
6,2,149,1.3025946259577088,1.6967527595739031,6.503905211434956,0.005048313649177368
6,3,149,1.3277769092442397,1.762991520722186,4.6436219351776185,0.005469920370952953
6,4,149,1.3342002667125414,1.7800903516958164,3.859721954141401,0.004278211901283297
6,5,149,0.9416640951627938,0.8867312681187632,2.967789824309507,0.00417657489052729
6,6,149,2.0136399089452355,4.054745682896977,8.27209637204139,0.00768425310904598
6,7,149,0.9311911153364367,0.8671168932815171,2.964951780743728,0.0036846469049707136
6,8,149,1.2407585422414291,1.539481760145076,4.351974338115652,0.005511666983675347
6,9,149,1.4431401223213252,2.082653412653609,5.013115021103983,0.0060628619520975285
6,10,149,0.9717176905108987,0.9442352700518348,3.1922577534035352,0.005192499182641506
6,11,149,1.1942487530685175,1.4262300842057092,4.484705194301036,0.004957661389116791
6,12,149,0.9546746133635139,0.9114036174007747,2.5906557158557804,0.004670775257713683
