s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,4.791061002821145,22.954265532753553,17.107599450518563,0.015455136825864546
2,0,186,2.4918150776374457,6.209142381141309,10.608684351020239,0.019549110467503496
2,1,186,2.2079220790263134,4.874919907051879,11.47642675430957,0.012437086259777491
2,2,186,1.564428453602463,2.447436386440994,11.266452201582938,0.010628642452782914
2,3,186,2.5815827225373207,6.6645693533032055,11.654666731947358,0.03560473594843487
2,4,186,3.7899782021090127,14.363934772461464,20.514387520551015,0.028888674838593913
4,0,170,1.3193812730950838,1.7407669437940039,6.882942372949463,0.006124592235128951
4,1,170,1.0258564651997666,1.0523814871921597,4.31482082875739,0.007086190459824517
4,2,170,0.6811792423188648,0.4640051601661027,2.0815288253833866,0.005592871989083505
4,3,170,1.5260857077951886,2.3289375875367417,9.508139668704771,0.011638431501535283
4,4,170,1.0592903315193258,1.1220960064503234,4.260978780169454,0.010116077498107319
4,5,170,0.8312477862823056,0.6909728821992336,3.3127207115097415,0.006714145713074627
4,6,170,0.6903801168376805,0.4766247057248094,3.180205762138373,0.006296051521953862
4,7,170,0.5654463615749162,0.31972958781831085,2.476749231677668,0.0049161541207498145
4,8,170,1.7681862019618273,3.1264824448081923,10.462758586688325,0.013786204326431227
6,0,149,0.8016674727142369,0.6426707368080317,3.5524474441579024,0.0033573371206317387
6,1,149,0.8304419657979425,0.6896338585583511,3.414938867232046,0.005646790869962363
6,2,149,0.7280820395963163,0.530103456382732,3.9861342491634364,0.0054723267265425896
6,3,149,0.7419560453194032,0.5504987731860083,2.774493002168988,0.005983666839700765
6,4,149,0.6989480344297673,0.48852835483323515,2.1713429189389193,0.004327510871712333
6,5,149,0.5114929875644267,0.26162507632758286,1.7265277023557253,0.004488144630852299
6,6,149,1.1952882246471292,1.4287139399800861,5.257245749685867,0.008860427838605476
6,7,149,0.6165829528549335,0.38017453775130905,2.518122688472775,0.004420650418109008
6,8,149,0.8108155409374789,0.6574218414257366,3.4653655283848623,0.006456931400433049
6,9,149,0.8807948477974469,0.7757995639065276,3.6033071168800808,0.006587906524271431
6,10,149,0.5422408537388252,0.29402514346341,2.001214513960792,0.005369779652511858
6,11,149,0.634825779692833,0.40300377056261344,2.367221713949382,0.005196058004443157
6,12,149,0.49879031689410486,0.24879178022732154,1.3789906545664647,0.00471398679777148
