component,s,t,tau
vp,0,0,0.4129073802372927
vp,2,0,0.13763579341243087
vp,2,1,0.13763579341243087
vp,2,2,0.13763579341243087
vp,2,3,0.13763579341243087
vp,2,4,0.13763579341243087
vs_IC,0,0,0.01701619262475054
vs_IC,2,0,0.005672064208250179
vs_IC,2,1,0.005672064208250179
vs_IC,2,2,0.005672064208250179
vs_IC,2,3,0.005672064208250179
vs_IC,2,4,0.005672064208250179
vs_M,0,0,1.44718002076953
vs_M,2,0,0.48239334025651
vs_M,2,1,0.48239334025651
vs_M,2,2,0.48239334025651
vs_M,2,3,0.48239334025651
vs_M,2,4,0.48239334025651
rho,0,0,0.4559444848312994
rho,2,0,0.15198149494376645
rho,2,1,0.15198149494376645
rho,2,2,0.15198149494376645
rho,2,3,0.15198149494376645
rho,2,4,0.15198149494376645
