component,s,t,tau
vp,0,0,0.38621954034320755
vp,2,0,0.12873984678106917
vp,2,1,0.12873984678106917
vp,2,2,0.12873984678106917
vp,2,3,0.12873984678106917
vp,2,4,0.12873984678106917
vs_IC,0,0,0.013391747369967306
vs_IC,2,0,0.004463915789989102
vs_IC,2,1,0.004463915789989102
vs_IC,2,2,0.004463915789989102
vs_IC,2,3,0.004463915789989102
vs_IC,2,4,0.004463915789989102
vs_M,0,0,1.149681187217144
vs_M,2,0,0.38322706240571464
vs_M,2,1,0.38322706240571464
vs_M,2,2,0.38322706240571464
vs_M,2,3,0.38322706240571464
vs_M,2,4,0.38322706240571464
rho,0,0,0.4453792917648021
rho,2,0,0.1484597639216007
rho,2,1,0.1484597639216007
rho,2,2,0.1484597639216007
rho,2,3,0.1484597639216007
rho,2,4,0.1484597639216007
