component,s,t,tau
vp,0,0,0.19421699857140623
vp,2,0,0.06473899952380208
vp,2,1,0.06473899952380208
vp,2,2,0.06473899952380208
vp,2,3,0.06473899952380208
vp,2,4,0.06473899952380208
vp,4,0,0.038843399714281246
vp,4,1,0.038843399714281246
vp,4,2,0.038843399714281246
vp,4,3,0.038843399714281246
vp,4,4,0.038843399714281246
vp,4,5,0.038843399714281246
vp,4,6,0.038843399714281246
vp,4,7,0.038843399714281246
vp,4,8,0.038843399714281246
vp,6,0,0.02774528551020089
vp,6,1,0.02774528551020089
vp,6,2,0.02774528551020089
vp,6,3,0.02774528551020089
vp,6,4,0.02774528551020089
vp,6,5,0.02774528551020089
vp,6,6,0.02774528551020089
vp,6,7,0.02774528551020089
vp,6,8,0.02774528551020089
vp,6,9,0.02774528551020089
vp,6,10,0.02774528551020089
vp,6,11,0.02774528551020089
vp,6,12,0.02774528551020089
vs_IC,0,0,0.007972472540494905
vs_IC,2,0,0.002657490846831635
vs_IC,2,1,0.002657490846831635
vs_IC,2,2,0.002657490846831635
vs_IC,2,3,0.002657490846831635
vs_IC,2,4,0.002657490846831635
vs_IC,4,0,0.0015944945080989812
vs_IC,4,1,0.0015944945080989812
vs_IC,4,2,0.0015944945080989812
vs_IC,4,3,0.0015944945080989812
vs_IC,4,4,0.0015944945080989812
vs_IC,4,5,0.0015944945080989812
vs_IC,4,6,0.0015944945080989812
vs_IC,4,7,0.0015944945080989812
vs_IC,4,8,0.0015944945080989812
vs_IC,6,0,0.0011389246486421293
vs_IC,6,1,0.0011389246486421293
vs_IC,6,2,0.0011389246486421293
vs_IC,6,3,0.0011389246486421293
vs_IC,6,4,0.0011389246486421293
vs_IC,6,5,0.0011389246486421293
vs_IC,6,6,0.0011389246486421293
vs_IC,6,7,0.0011389246486421293
vs_IC,6,8,0.0011389246486421293
vs_IC,6,9,0.0011389246486421293
vs_IC,6,10,0.0011389246486421293
vs_IC,6,11,0.0011389246486421293
vs_IC,6,12,0.0011389246486421293
vs_M,0,0,0.823687745282809
vs_M,2,0,0.2745625817609363
vs_M,2,1,0.2745625817609363
vs_M,2,2,0.2745625817609363
vs_M,2,3,0.2745625817609363
vs_M,2,4,0.2745625817609363
vs_M,4,0,0.1647375490565618
vs_M,4,1,0.1647375490565618
vs_M,4,2,0.1647375490565618
vs_M,4,3,0.1647375490565618
vs_M,4,4,0.1647375490565618
vs_M,4,5,0.1647375490565618
vs_M,4,6,0.1647375490565618
vs_M,4,7,0.1647375490565618
vs_M,4,8,0.1647375490565618
vs_M,6,0,0.11766967789754414
vs_M,6,1,0.11766967789754414
vs_M,6,2,0.11766967789754414
vs_M,6,3,0.11766967789754414
vs_M,6,4,0.11766967789754414
vs_M,6,5,0.11766967789754414
vs_M,6,6,0.11766967789754414
vs_M,6,7,0.11766967789754414
vs_M,6,8,0.11766967789754414
vs_M,6,9,0.11766967789754414
vs_M,6,10,0.11766967789754414
vs_M,6,11,0.11766967789754414
vs_M,6,12,0.11766967789754414
rho,0,0,0.20119087663282176
rho,2,0,0.06706362554427392
rho,2,1,0.06706362554427392
rho,2,2,0.06706362554427392
rho,2,3,0.06706362554427392
rho,2,4,0.06706362554427392
rho,4,0,0.04023817532656435
rho,4,1,0.04023817532656435
rho,4,2,0.04023817532656435
rho,4,3,0.04023817532656435
rho,4,4,0.04023817532656435
rho,4,5,0.04023817532656435
rho,4,6,0.04023817532656435
rho,4,7,0.04023817532656435
rho,4,8,0.04023817532656435
rho,6,0,0.028741553804688822
rho,6,1,0.028741553804688822
rho,6,2,0.028741553804688822
rho,6,3,0.028741553804688822
rho,6,4,0.028741553804688822
rho,6,5,0.028741553804688822
rho,6,6,0.028741553804688822
rho,6,7,0.028741553804688822
rho,6,8,0.028741553804688822
rho,6,9,0.028741553804688822
rho,6,10,0.028741553804688822
rho,6,11,0.028741553804688822
rho,6,12,0.028741553804688822
